ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x13a0a,CUS_0x6db3,January,Alan Wheatleyr,33,588-36-6834,_______,19667.73,1594.9775,10,9,19,8,"Auto Loan, Mortgage Loan, Credit-Builder Loan, Auto Loan, Auto Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",32,17,19.73,7.0,Bad,4526.89,27.61155654221674,NA,Yes,99.81113920794549,91.16950865678709,Low_spent_Small_value_payments,258.5171021352674,Standard
0x13a89,CUS_0x4c09,August,Edward Taylorh,33,271-16-7396,Mechanic,128501.8,,3,8,7,3,"Mortgage Loan, Debt Consolidation Loan, and Auto Loan",10,3,1.25,0.0,Good,833.92,37.460853859734115,29 Years and 4 Months,No,175.3479404048245,245.27735523297662,High_spent_Large_value_payments,881.8230376955322,Standard
0x13c9f,CUS_0xa50e,February,Douweq,35,253-30-1664,Journalist,125264.96,,4,3,3,0_,,27,8,5.53,1641.0,Good,950.59,35.30584068814647,25 Years and 2 Months,No,0.0,691.6042478461565,High_spent_Small_value_payments,608.8704188205103,Poor
0x1fb60,CUS_0xc288,July,,39_,470-59-7781,Manager,25876.18,2293.348333333333,4,6,7,3,"Student Loan, Credit-Builder Loan, and Personal Loan",0,15,10.29,4.0,Standard,71.54,36.24152601281043,21 Years and 8 Months,No,37.374349704346756,58.29316700348723,High_spent_Medium_value_payments,383.6673166254993,Standard
0x24c82,CUS_0x2cad,May,Richard Leongw,45,304-15-3108,Entrepreneur,36592.92,2904.41,957,7,9,2,"Not Specified, and Debt Consolidation Loan",30,15,7.98,4.0,Standard,1301.92,26.547589514694,23 Years and 0 Months,Yes,43.28294046828422,221.37573313018825,Low_spent_Medium_value_payments,305.78232640152754,Standard
0x4eee,CUS_0x4c56,May,Georgiopoulosl,42,673-06-2525,Mechanic,82196.31_,6957.6925,8,5,12,0,,21,8_,19.31,0.0,Standard,888.94,42.35167581815917,23 Years and 1 Months,NM,0.0,__10000__,High_spent_Medium_value_payments,720.9783451463643,Standard
0x20e89,CUS_0x61f7,April,Dailyr,53,478-96-2156,Architect,36920.36,3119.6966666666667,0,6,3,0,,9,4,11.94,3.0,Good,881.0,35.751494782055765,27 Years and 0 Months,No,0.0,181.34295510975915,Low_spent_Small_value_payments,420.6267115569075,Standard
0xfb57,CUS_0xaab7,June,Jason Langet,40,110-58-2517,Entrepreneur,103744.83,8398.4025,6,6,18,3,"Not Specified, Payday Loan, and Debt Consolidation Loan",28,18,0.78,2.0,Standard,484.98,35.18264311980083,26 Years and 10 Months,No,160.97039103776072,__10000__,Low_spent_Medium_value_payments,406.2945611546928,Standard
0x15c39,CUS_0xad3f,April,Jint,37,152-57-8963,Developer,17559.88,1179.3233333333335,2,7,5,0,,2,,7.02,0.0,Good,23.7,25.51869264473116,18 Years and 6 Months,No,0.0,__10000__,Low_spent_Small_value_payments,303.51965228402617,Standard
0xec25,CUS_0x995d,April,Joshua Schneyerl,18,586-31-9261,Doctor,44418.54,3626.545,1756,7,33,8,"Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Home Equity Loan, Student Loan, Not Specified, and Personal Loan",63,20,-2.1500000000000004,9.0,Bad,1340.46,34.23976072103619,8 Years and 1 Months,Yes,233.63620780037326,210.66189755711915,Low_spent_Large_value_payments,188.3563946425077,Poor
0x21bca,CUS_0x9962,January,Jessica Toonkely,45,378-95-8519,Developer,126689.0,10543.416666666666,3,1,5580,3,"Mortgage Loan, Personal Loan, and Debt Consolidation Loan",14,2,-4.27,1.0,Good,597.81,33.87292026732687,19 Years and 3 Months,No,272.28143639145117,1242.1545301736999,Low_spent_Small_value_payments,,Good
0x12b7c,CUS_0x56d6,July,Ann Saphirj,37,349-72-1106,Journalist,17943.885,1548.3237499999998,4,3,6,3,"Payday Loan, Payday Loan, and Student Loan",24,14,10.55,10.0,Standard,1490.82,32.51975414782223,17 Years and 7 Months,Yes,35.30356913107998,102.89171050954252,Low_spent_Medium_value_payments,296.63709535937744,Standard
0xc89d,CUS_0x2c34,April,Ryan Vlastelicar,18,748-96-2438,Scientist,86492.88,7075.740000000002,7,5,17,3,"Mortgage Loan, Debt Consolidation Loan, and Credit-Builder Loan",9,13,5.16,1.0,Standard,269.63,31.70413943521952,30 Years and 4 Months,No,172.3465509189401,126.95619606586908,High_spent_Medium_value_payments,658.271253015191,Standard
0xf015,CUS_0x17e9,April,Shirouzuj,42,#F%$D@*&8,Accountant,67841.78,5562.4816666666675,8,3,14,4,"Payday Loan, Mortgage Loan, Mortgage Loan, and Mortgage Loan",28,17,2.35,3.0,Standard,1475.39,31.32739244365662,27 Years and 0 Months,NM,177.35078973790849,211.97024274083236,Low_spent_Medium_value_payments,446.92713418792573,Standard
0x1d45a,CUS_0x4f28,January,,36,015-78-1852,Developer,57293.49000000001,4610.4575,8,7,34,7,"Student Loan, Personal Loan, Auto Loan, Auto Loan, Student Loan, Auto Loan, and Not Specified",38,16,10.83,8.0,_,1970.44,30.78166999715287,7 Years and 3 Months,Yes,309.6118553301733,203.92560378298316,High_spent_Small_value_payments,207.50829088684355,Poor
0x150e5,CUS_0x42e6,August,Angela Moons,30_,811-31-7920,Manager,25389.26,1954.7716666666665,5,3,6,3,"Home Equity Loan, Home Equity Loan, and Payday Loan",15,12,6.82,0.0,Standard,242.65,30.258081250404572,31 Years and 5 Months,Yes,60.303433908671494,__10000__,Low_spent_Large_value_payments,341.04846544343593,Good
0x254b,CUS_0x7597,February,McCooll,44,572-60-9561,Musician,56760.51,4999.0425,6,5,2200,9,"Student Loan, Not Specified, Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Not Specified",40,24,28.7,11.0,Bad,4701.09,31.712574592235942,6 Years and 4 Months,Yes,401.1213841078491,238.0492225580332,Low_spent_Small_value_payments,150.73364333411766,Poor
0x1ee41,CUS_0x869,August,Brw,37,477-10-7170,Architect,121256.4_,9022.691765326765,4,4,19,2,"Personal Loan, and Debt Consolidation Loan",14,19,4.92,7.0,Standard,1012.93,23.27401665670895,31 Years and 3 Months,NM,1060.774722623717,686.5203361311358,Low_spent_Large_value_payments,369.88317591838285,Good
0xde54,CUS_0x4ad9,July,Victoriah,38,849-86-8009,Mechanic,29310.85,2522.570833333333,8,4,20,4,"Auto Loan, Home Equity Loan, Student Loan, and Student Loan",7,18,9.3,4.0,Standard,1184.49,34.64240682556965,32 Years and 1 Months,NM,93.77119066817184,159.79189868675618,Low_spent_Large_value_payments,268.69399397840533,Poor
0xac58,CUS_0xb042,March,Jan Strupczewskic,25_,418-71-7160,Journalist,19215.09,1460.2575,5,6,31,5,"Payday Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, and Mortgage Loan",26,17,11.0,6.0,Standard,1680.4,23.92469054126599,5 Years and 6 Months,Yes,56.96234984044786,181.455578397583,Low_spent_Small_value_payments,197.60782176196915,Poor
0x18038,CUS_0x35bd,March,Sh,34,042-56-3090,Media_Manager,20251.96,1476.6633333333332,6,5,26,6,"Payday Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Student Loan, and Payday Loan",64,19,2.09,7.0,Bad,2168.54,31.38146638606869,10 Years and 10 Months,Yes,76.90780862472894,104.1456251463875,!@9#%8,256.61289956221685,Poor
0x9bee,CUS_0xc2da,January,Yaox,27,376-12-9828,Media_Manager,18038.0,1534.166666666667,5,1,10,0,,-1,5,10.4,4.0,Good,486.12,37.426311468252685,NA,NM,55113.0,86.90687476175427,Low_spent_Small_value_payments,356.50979190491233,Standard
0x1e103,CUS_0x4fa3,February,,55,773-79-4897,Mechanic,166741.48,,4,5,12,3,"Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",14,,1.83,0.0,_,117.12,28.627795279159532,31 Years and 6 Months,No,337.2556430027884,1232.551588388199,!@9#%8,133.30510194234603,Good
0x2094c,CUS_0xbc4c,July,Kellyb,38,951-79-8878,Architect,15503.65,1581.970833333333,3,5,12,0,,6,12,9.43,0.0,_,466.65,28.15515008412845,19 Years and 8 Months,Yes,0.0,66.24713034641232,High_spent_Small_value_payments,351.949952986921,Standard
0x9e28,CUS_0x1733,July,Jonathan Cablec,29,055-42-9873,Entrepreneur,46696.02,3811.3350000000014,8,4,33,3,"Credit-Builder Loan, Auto Loan, and Personal Loan",11,19,11.02,13.0,Standard,1595.76,32.290404297262356,18 Years and 9 Months,NM,89.91109044134481,513.4671060077467,Low_spent_Small_value_payments,67.75530355090869,Poor
